,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,salary_indicated,num_words_company_profile
1328,US,False,True,True,Full-time,Entry level,Normal education,Non-Profit Organisation,Health Care Provider,0,127
1329,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
1330,US,False,True,False,Full-time,Mid-Senior level,Normal education,Transportation,Management,1,62
1331,US,False,True,True,Contract,,Higher Education,Education,,0,10
1332,US,False,True,False,Part-time,Entry level,Normal education,Finance and Economic,Customer Service,0,86
1333,GR,False,True,False,Full-time,Entry level,Higher Education,Telecommunication,Other,0,392
1334,,False,True,True,,,,,,0,48
1335,US,False,True,True,Contract,,Higher Education,Education,,0,10
1336,US,False,False,False,Full-time,,,,,0,32
1337,GB,False,True,True,Temporary,Associate,Unspecified,Fashion,Sales,0,131
1338,US,False,True,True,Full-time,Associate,Normal education,Hospitality,Customer Service,1,120
1339,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,62
1340,GB,False,True,False,Full-time,Mid-Senior level,,Advertising and marketing,Sales,0,239
1341,PT,False,True,True,Full-time,Entry level,Higher Education,Computer and Technology,Sales,0,77
1342,US,False,True,False,,,,Fashion,Marketing,0,206
1343,US,False,True,True,Full-time,Mid-Senior level,,Energy,Management,0,75
1344,US,False,False,False,Contract,Entry level,Unspecified,Transportation,Customer Service,0,31
1345,US,False,True,True,Full-time,Mid-Senior level,,Construction,,0,144
1346,EG,False,True,False,Full-time,Associate,Higher Education,Telecommunication,Information Technology,0,141
1347,US,False,True,True,,,,Education,,0,215
1348,US,False,True,False,Full-time,Entry level,Normal education,Government and Legislation,Legal,0,35
1349,NZ,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Project Management,0,294
1350,US,False,True,True,,,,Computer and Technology,,0,158
1351,US,False,True,False,Part-time,Internship,Normal education,Computer and Technology,Marketing,0,158
1352,PT,False,True,True,Other,,,Fashion,,0,18
1353,US,False,True,True,Full-time,Associate,,Energy,Finance,0,141
1354,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Manufacturing,Management,0,77
1355,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
1356,FR,False,True,True,Part-time,Associate,Higher Education,Computer and Technology,Writing/Editing,0,83
1357,US,False,True,False,,,,,,0,192
1358,US,False,True,False,,,,,,0,192
1359,US,False,True,True,Full-time,,Higher Education,Computer and Technology,Engineering,0,147
1360,US,False,True,True,Part-time,,Normal education,Healthcare,Health Care Provider,0,29
1361,US,False,True,False,,,,,,0,192
1362,US,False,True,True,Full-time,Not Applicable,,Hospitality,,0,72
1363,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Fashion,Accounting/Auditing,0,220
1364,GR,False,True,True,Full-time,,Higher Education,Computer and Technology,,0,121
1365,US,False,True,True,Full-time,,Higher Education,,Design,0,109
1366,US,False,True,True,Full-time,,,Computer and Technology,Art/Creative,0,330
1367,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Marketing,1,53
1368,GB,False,True,False,,,,Entertainment,,0,67
1369,US,False,True,True,Full-time,,Highest Education,Manufacturing,Engineering,1,92
1370,US,False,True,True,Full-time,Mid-Senior level,,Media and News,,0,136
1371,US,False,False,False,Full-time,,,Entertainment,,0,32
1372,NZ,False,True,False,,,,,,0,14
1373,GB,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,Information Technology,0,78
1374,GR,False,False,True,Full-time,Entry level,,Hospitality,,0,202
1375,US,False,True,False,Full-time,Associate,Normal education,Construction,Other,0,35
1376,CA,False,True,True,,,Certification,Healthcare,Health Care Provider,0,134
1377,US,False,True,True,Full-time,Entry level,Unspecified,Finance and Economic,Customer Service,0,148
1378,US,False,True,False,Part-time,Internship,Higher Education,Computer and Technology,Administrative,0,198
1379,NG,False,True,True,Full-time,Associate,Higher Education,Manufacturing,Business Development,0,158
1380,US,False,True,True,,,,,,0,74
1381,GB,False,True,True,Temporary,Associate,Unspecified,Fashion,Sales,0,131
1382,US,False,True,True,Full-time,,,Healthcare,,0,76
1383,GB,False,True,True,Part-time,Entry level,Higher Education,Media and News,,0,72
1384,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Advertising and marketing,Data Analyst,0,55
1385,CA,False,True,False,Full-time,Entry level,Normal education,Entertainment,Customer Service,0,86
1386,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Manufacturing,Marketing,0,77
1387,GR,False,True,False,,,,HR and Consulting,,0,58
1388,GR,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,Marketing,0,249
1389,IT,False,True,True,Full-time,Associate,Unspecified,Fashion,Art/Creative,1,49
1390,US,False,True,True,Full-time,Associate,Unspecified,Finance and Economic,Sales,0,148
1391,PH,False,True,True,Full-time,Mid-Senior level,Higher Education,Non-Profit Organisation,Writing/Editing,0,104
1392,GR,True,True,False,Full-time,,,Computer and Technology,,0,95
1393,US,False,True,False,Full-time,Mid-Senior level,Unspecified,,Information Technology,0,108
1394,US,False,True,False,,,,,,0,8
1395,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Production,0,126
1396,NZ,False,True,False,Full-time,Associate,Unspecified,Computer and Technology,Information Technology,1,142
1397,AU,False,True,False,Full-time,Entry level,,Finance and Economic,Administrative,1,97
1398,CA,False,True,False,Full-time,Entry level,Normal education,Hospitality,Customer Service,0,86
1399,GB,False,True,False,,,,,,0,131
1400,CA,False,True,True,Full-time,Not Applicable,Unspecified,Fashion,Marketing,0,36
1401,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Manufacturing,Management,0,77
1402,GR,False,True,False,,,,,Marketing,0,45
1403,EE,False,True,True,,,,Finance and Economic,,0,53
1404,GB,False,True,False,Full-time,Not Applicable,,Hospitality,Marketing,0,52
1405,US,False,True,True,Contract,,,Computer and Technology,Information Technology,0,141
1406,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,100
1407,BE,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,83
1408,GR,False,True,True,Full-time,Mid-Senior level,Higher Education,Telecommunication,Information Technology,0,392
1409,US,False,False,False,Full-time,,,,Business Analyst,0,32
1410,HK,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,78
1411,US,False,True,False,Part-time,Not Applicable,Normal education,Non-Profit Organisation,Administrative,0,40
1412,US,False,True,False,,,,,,0,203
1413,GB,False,True,True,Full-time,Entry level,Higher Education,Advertising and marketing,Marketing,0,116
1414,US,False,True,True,Full-time,Director,Unspecified,Computer and Technology,Strategy/Planning,0,53
1415,DE,False,True,True,,,,,,0,20
1416,US,False,True,False,Contract,,Higher Education,Education,,0,10
1417,US,False,True,True,Contract,,Higher Education,Education,,0,10
1418,CA,False,True,True,Full-time,Entry level,Normal education,Computer and Technology,Sales,0,72
1419,US,False,True,False,Temporary,Entry level,Normal education,Advertising and marketing,Other,0,65
1420,US,True,True,True,,,,,,0,149
1421,US,False,True,True,Full-time,Mid-Senior level,Highest Education,Computer and Technology,Product Management,0,226
1422,AU,False,True,False,Full-time,Director,Higher Education,Computer and Technology,Marketing,0,118
1423,US,False,True,True,Contract,,Higher Education,Education,,0,10
1424,GR,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,112
1425,IE,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Information Technology,0,155
1426,US,False,True,False,Full-time,Entry level,,Advertising and marketing,Data Analyst,0,105
1427,US,False,True,True,Full-time,Internship,Normal education,Advertising and marketing,Marketing,0,116
1428,GR,False,True,True,Full-time,Associate,Higher Education,Finance and Economic,Administrative,0,48
1429,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Product Management,0,251
1430,US,True,False,False,Full-time,Mid-Senior level,,Finance and Economic,Business Development,0,66
1431,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,77
1432,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Business Analyst,0,66
1433,US,True,True,True,Contract,,,Fashion,Design,0,73
1434,US,False,False,False,Full-time,,,,,0,32
1435,US,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Sales,0,290
1436,US,False,True,True,Other,Entry level,Unspecified,Computer and Technology,Information Technology,0,333
1437,GB,False,True,True,Full-time,Entry level,Higher Education,Finance and Economic,Marketing,1,105
1438,CA,False,True,False,,,,,,0,55
1439,US,False,False,False,Full-time,,,Manufacturing,,0,32
1440,GR,True,True,True,Full-time,Mid-Senior level,,Computer and Technology,Engineering,0,83
1441,CA,False,True,True,Full-time,Associate,Higher Education,Government and Legislation,Sales,0,76
1442,US,False,True,False,Full-time,Mid-Senior level,,Fashion,,0,108
1443,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
1444,US,False,True,False,Full-time,Entry level,Higher Education,Computer and Technology,Design,0,100
1445,US,True,True,False,Full-time,Entry level,Normal education,Advertising and marketing,Customer Service,1,130
1446,,True,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,94
1447,US,False,True,True,Full-time,,,Computer and Technology,Information Technology,0,86
1448,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Finance and Economic,Legal,0,148
1449,NL,False,True,False,,,,Education,,0,109
1450,GB,False,True,True,Full-time,Mid-Senior level,Unspecified,Media and News,Sales,1,116
1451,US,False,True,False,Full-time,Entry level,Higher Education,Manufacturing,Customer Service,0,81
1452,US,False,True,False,Full-time,Entry level,,Finance and Economic,,0,148
1453,US,False,True,False,,,,Fashion,,0,178
1454,US,False,True,False,Full-time,Director,Higher Education,Advertising and marketing,Accounting/Auditing,0,97
1455,GB,False,True,True,Full-time,,,,,0,58
1456,US,False,True,False,,,,Fashion,Sales,0,91
1457,US,False,True,True,Full-time,Executive,Higher Education,Finance and Economic,Marketing,0,65
1458,US,False,False,False,Full-time,,,,,0,196
1459,US,False,True,True,Full-time,Entry level,Higher Education,Non-Profit Organisation,Business Development,0,120
1460,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Finance,0,44
1461,US,False,True,True,Contract,,Higher Education,Education,,0,10
1462,IN,False,True,False,Full-time,Entry level,Higher Education,Computer and Technology,Information Technology,0,311
1463,US,False,True,True,,,,Manufacturing,Sales,0,243
1464,GB,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Design,1,201
1465,US,False,True,True,Full-time,Internship,Higher Education,Media and News,Public Relations,0,261
1466,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,1,333
1467,US,False,True,False,Full-time,Director,Higher Education,Transportation,Information Technology,1,222
1468,US,False,False,False,Full-time,,,HR and Consulting,,0,32
1469,GB,False,True,True,,Entry level,Normal education,Hospitality,Sales,0,131
1470,US,False,True,False,,,,,,0,86
1471,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Finance and Economic,Legal,0,148
1472,GB,False,True,False,Temporary,,,Fashion,,0,131
1473,GB,False,True,True,Full-time,Associate,Unspecified,Finance and Economic,Information Technology,1,105
1474,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
1475,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Manufacturing,Management,0,77
1476,US,False,True,True,Contract,,Higher Education,Education,,0,10
1477,US,False,True,False,Full-time,Entry level,Higher Education,Construction,Management,1,68
1478,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,0,51
1479,US,False,True,True,Contract,,Higher Education,Education,,0,10
1480,US,False,True,False,Full-time,,,Education,Administrative,0,146
1481,GB,False,True,True,Temporary,,,Fashion,,0,47
1482,US,False,True,False,Full-time,Entry level,Normal education,Telecommunication,Administrative,0,86
1483,US,False,True,True,Full-time,Associate,Higher Education,Education,Advertising,0,107
1484,GR,False,True,True,,,,,,0,45
1485,US,False,True,False,Contract,,Higher Education,Education,,0,10
1486,US,False,True,False,Full-time,Entry level,Normal education,Finance and Economic,Finance,0,49
1487,US,False,True,False,Full-time,Entry level,Normal education,Hospitality,Customer Service,0,86
1488,US,False,True,True,Full-time,Mid-Senior level,Normal education,Construction,,0,144
1489,US,False,False,False,Full-time,,,Finance and Economic,,0,32
1490,US,False,True,False,Full-time,,,Construction,,0,110
1491,HK,False,True,True,Full-time,Entry level,Higher Education,Fashion,Design,0,107
1492,GB,False,True,True,Full-time,Not Applicable,Normal education,Food and Beverage,Customer Service,1,229
1493,US,False,True,True,Full-time,,,Computer and Technology,,0,226
1494,US,False,True,True,,,,,,0,29
1495,US,False,True,False,Full-time,Entry level,Higher Education,Computer and Technology,Administrative,0,67
1496,US,False,True,True,Full-time,,,Energy,Finance,0,141
1497,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,33
1498,,False,True,True,,,,,,0,48
1499,GB,False,True,True,Temporary,Internship,Unspecified,Fashion,General Business,1,82
1500,GR,True,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,147
1501,US,False,True,False,,,,,Marketing,1,184
1502,US,False,True,True,Contract,Mid-Senior level,Highest Education,HR and Consulting,Consulting,0,139
1503,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,0,85
1504,GB,False,True,False,Full-time,Entry level,Higher Education,Fashion,Customer Service,1,78
1505,GR,False,True,True,Full-time,Mid-Senior level,Higher Education,Healthcare,Health Care Provider,0,370
1506,US,False,True,True,Full-time,Associate,Higher Education,Healthcare,Health Care Provider,0,71
1507,US,False,True,False,Full-time,Associate,Higher Education,Entertainment,Supply Chain,0,213
1508,US,False,True,False,Full-time,Associate,,Advertising and marketing,,0,148
1509,US,False,True,True,,,,,Customer Service,0,184
1510,IE,False,True,False,Full-time,Mid-Senior level,,Aerospace,Information Technology,0,88
1511,BE,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,83
1512,US,False,True,True,,,,Manufacturing,Other,0,243
1513,,False,True,True,Full-time,Not Applicable,Normal education,,Sales,0,131
1514,US,False,True,True,Contract,,Higher Education,Education,,0,10
1515,GB,False,True,True,Full-time,,,,Sales,1,53
1516,US,False,True,False,Full-time,Executive,Higher Education,Advertising and marketing,Management,1,125
1517,US,False,False,False,,,,,,0,131
1518,US,False,True,True,Full-time,Associate,Higher Education,Education,Other,0,85
1519,US,False,True,False,,,,Advertising and marketing,Sales,1,98
1520,GB,False,True,True,,,,,Customer Service,0,131
1521,US,False,True,True,Full-time,Not Applicable,Unspecified,Computer and Technology,Customer Service,0,158
1522,US,False,True,False,,,,,,0,192
1523,US,False,True,True,Full-time,Executive,Highest Education,Non-Profit Organisation,Administrative,0,64
1524,EG,False,True,False,Full-time,Mid-Senior level,Higher Education,Telecommunication,Sales,0,156
1525,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,12
1526,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,1,44
1527,CA,False,True,False,,,,,,0,51
1528,US,False,True,True,Contract,,Higher Education,Education,,0,10
1529,US,False,True,True,Full-time,Entry level,Higher Education,Computer and Technology,Information Technology,0,178
1530,NZ,False,True,True,,,,Fashion,,0,290
1531,GB,False,True,True,Other,Internship,Higher Education,Fashion,Design,0,104
1532,BE,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,83
1533,GB,False,True,False,Full-time,Mid-Senior level,,Computer and Technology,,0,264
1534,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
1535,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Media and News,Design,0,70
1536,DE,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,20
1537,US,False,True,True,Full-time,,,,Marketing,0,47
1538,US,False,True,False,Contract,Entry level,Higher Education,Education,,0,10
1539,US,True,True,True,Part-time,Not Applicable,Normal education,Computer and Technology,Customer Service,1,69
1540,GB,False,True,True,Full-time,Director,Highest Education,Advertising and marketing,Finance,0,239
1541,PH,False,True,False,Full-time,,Higher Education,Hospitality,Engineering,0,111
1542,US,False,True,False,Contract,,Higher Education,HR and Consulting,Sales,1,67
1543,GB,False,True,False,,,,,,0,180
1544,US,False,True,True,Part-time,Internship,,Education,Design,0,105
1545,US,False,True,True,Part-time,Not Applicable,Normal education,Manufacturing,Production,0,180
1546,US,False,True,True,Part-time,Mid-Senior level,,Construction,Science,0,174
1547,GB,False,True,True,Full-time,Internship,Higher Education,Computer and Technology,Marketing,1,52
1548,GR,False,True,True,,,,,,0,361
1549,BE,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,83
1550,GB,False,True,False,Full-time,Associate,Higher Education,HR and Consulting,Human Resources,0,88
1551,US,False,True,True,Full-time,Mid-Senior level,,Construction,,0,144
1552,ES,False,True,True,Full-time,,,Telecommunication,Business Development,0,270
1553,GR,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,0,140
1554,DE,False,True,True,Full-time,Associate,Higher Education,Media and News,Sales,1,133
1555,US,False,True,False,,,,,,0,123
1556,IN,False,True,False,,Director,,,Quality Assurance,0,62
1557,DK,False,True,False,Full-time,Not Applicable,,,,0,63
1558,SA,False,True,False,Full-time,Mid-Senior level,Highest Education,Healthcare,Health Care Provider,0,84
1559,US,False,False,False,Full-time,,,,,0,32
1560,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Accounting/Auditing,1,126
1561,GR,False,True,False,Full-time,Mid-Senior level,,Hospitality,,0,180
1562,US,False,True,True,Other,Mid-Senior level,Higher Education,Hospitality,Human Resources,0,147
1563,US,True,True,True,,,,,,0,101
1564,US,False,True,True,,Entry level,Unspecified,Healthcare,Accounting/Auditing,0,29
1565,US,False,True,True,Full-time,Not Applicable,Normal education,Healthcare,Sales,0,159
1566,,False,True,False,,,,,,0,85
1567,US,False,True,True,Full-time,,Higher Education,Energy,Engineering,0,141
1568,US,False,True,False,Full-time,Associate,Higher Education,Healthcare,Health Care Provider,0,74
1569,US,False,True,False,Full-time,,,Fashion,Engineering,0,52
1570,GB,False,True,False,Full-time,Mid-Senior level,,Food and Beverage,Engineering,0,12
1571,GR,False,True,True,Full-time,Mid-Senior level,,Education,Information Technology,0,96
1572,GB,False,True,True,,Not Applicable,Normal education,,Administrative,0,131
1573,GR,False,True,True,Full-time,Associate,Higher Education,Advertising and marketing,Engineering,0,78
1574,US,False,False,False,Full-time,,,,,0,32
1575,DE,False,True,True,Full-time,Associate,Certification,Education,Engineering,0,107
1576,CA,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Information Technology,0,588
1577,US,False,True,False,Full-time,Entry level,Normal education,Healthcare,Customer Service,0,86
1578,US,False,True,False,,Mid-Senior level,Normal education,Hospitality,,0,134
1579,GB,False,True,False,,,,,,0,131
1580,US,False,True,False,Full-time,Entry level,Normal education,Manufacturing,Sales,1,184
1581,US,False,False,False,Full-time,,,,,0,32
1582,GB,False,True,False,,,,,,0,248
1583,US,False,True,False,Full-time,Entry level,Normal education,Construction,Other,0,35
1584,US,False,True,False,,,,Media and News,,0,39
1585,US,True,True,False,Full-time,Entry level,Normal education,Construction,Customer Service,1,98
1586,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Energy,Engineering,0,112
1587,US,False,True,False,Full-time,Not Applicable,,,,0,118
1588,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Manufacturing,Management,0,77
1589,NL,False,True,False,Full-time,Mid-Senior level,,,Production,0,203
1590,US,False,True,True,Full-time,,Highest Education,,Education,0,167
1591,US,False,True,False,Full-time,Associate,Normal education,HR and Consulting,Management,0,86
1592,US,False,True,True,Contract,,Higher Education,Education,Education,0,10
1593,US,False,True,False,,,,Fashion,,0,91
1594,US,False,True,True,Full-time,Associate,Unspecified,Healthcare,Sales,1,207
1595,,False,True,False,,,,,,0,48
1596,HK,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Purchasing,0,79
1597,US,False,True,False,,,,Fashion,,0,198
1598,GB,False,True,True,Full-time,Mid-Senior level,Normal education,Energy,Engineering,1,51
1599,US,False,True,False,Full-time,Entry level,Normal education,Advertising and marketing,Marketing,1,100
1600,ID,False,True,False,Full-time,Mid-Senior level,Higher Education,Manufacturing,Sales,1,165
1601,US,False,True,False,Full-time,Director,,,Sales,0,350
1602,US,False,False,False,Full-time,,,HR and Consulting,,0,32
1603,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,247
1604,US,False,True,False,Full-time,,Higher Education,Fashion,Design,0,70
1605,US,False,True,True,Full-time,Associate,Higher Education,Finance and Economic,Marketing,1,63
1606,US,False,True,True,Contract,Entry level,Higher Education,Education,Education,0,10
1607,US,False,False,False,Full-time,,,,,0,32
1608,US,False,True,False,Full-time,Not Applicable,Unspecified,Fashion,Human Resources,0,97
1609,GR,False,True,False,Full-time,Entry level,Higher Education,Computer and Technology,Information Technology,0,107
1610,GR,False,True,False,Full-time,Entry level,Higher Education,Advertising and marketing,Administrative,0,59
1611,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Fashion,Marketing,0,220
1612,US,False,True,False,,,,,,0,192
1613,NZ,False,True,True,Full-time,,,Computer and Technology,Finance,0,290
1614,US,False,True,True,Full-time,Not Applicable,Higher Education,Computer and Technology,Information Technology,0,85
1615,GB,False,True,True,Temporary,,,Fashion,Design,0,73
1616,US,False,True,True,,,,Computer and Technology,,0,370
1617,US,False,True,False,Full-time,Entry level,,Transportation,,0,101
1618,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,0,144
1619,US,False,True,False,Full-time,Mid-Senior level,,Entertainment,Engineering,0,146
1620,US,False,True,True,Other,Entry level,Higher Education,Advertising and marketing,Marketing,0,44
1621,US,False,True,False,Full-time,Entry level,Normal education,Finance and Economic,Customer Service,0,86
1622,US,False,True,True,Full-time,Associate,Unspecified,Finance and Economic,Customer Service,0,148
1623,GB,False,True,True,Full-time,,,,,1,158
1624,US,False,True,False,Full-time,Entry level,Normal education,Computer and Technology,Customer Service,0,86
1625,NZ,False,True,True,Full-time,Entry level,Higher Education,Advertising and marketing,Information Technology,0,256
1626,US,False,True,True,Full-time,Associate,Higher Education,Advertising and marketing,Marketing,1,39
1627,US,False,False,False,Full-time,,,,,0,32
1628,US,False,True,False,,,,,,0,192
1629,US,False,True,True,Contract,,Higher Education,Education,,0,10
1630,US,False,True,False,Full-time,Entry level,Higher Education,Entertainment,Customer Service,0,100
1631,GB,False,True,False,Full-time,,Unspecified,Hospitality,Data Analyst,1,163
1632,US,True,True,True,Full-time,,Higher Education,Healthcare,Business Analyst,0,111
1633,US,False,False,False,Full-time,,,HR and Consulting,,0,32
1634,,False,True,True,,,,,,0,25
1635,US,False,True,False,Full-time,Not Applicable,,Computer and Technology,Administrative,0,86
1636,US,False,True,False,Full-time,,,Construction,Sales,0,110
1637,US,False,True,True,Full-time,Mid-Senior level,,Advertising and marketing,Writing/Editing,0,98
1638,GB,False,True,True,Full-time,Not Applicable,Normal education,,Administrative,0,131
1639,DK,False,True,False,Full-time,Not Applicable,,,,0,63
1640,US,False,True,False,Full-time,Associate,,Healthcare,,0,46
1641,US,True,True,False,Contract,Mid-Senior level,Higher Education,Computer and Technology,Marketing,0,206
1642,CA,False,True,False,Full-time,Executive,Highest Education,Advertising and marketing,Marketing,0,68
1643,GB,False,True,True,Full-time,Associate,,Finance and Economic,Finance,0,105
1644,US,False,True,True,Contract,,Higher Education,Education,,0,10
1645,US,False,True,False,,,,,Engineering,0,73
1646,US,False,True,False,Full-time,Associate,,Manufacturing,Management,0,179
1647,US,False,True,True,Full-time,Associate,Higher Education,Hospitality,Customer Service,1,157
1648,GR,False,True,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Information Technology,0,56
1649,US,False,True,False,,,,,,0,192
1650,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Healthcare,Management,1,222
1651,US,False,True,False,Full-time,,,Construction,,0,110
1652,GR,False,True,False,,,,Education,,0,93
1653,MU,False,True,True,Contract,Entry level,Normal education,Computer and Technology,Customer Service,0,6
1654,US,False,True,True,Full-time,Associate,Normal education,Manufacturing,Production,0,199
1655,US,False,True,False,Full-time,,,Manufacturing,Manufacturing,0,132
1656,NZ,False,True,True,Temporary,Entry level,,Hospitality,,0,32
1657,US,True,True,True,Full-time,Associate,Normal education,Computer and Technology,Sales,0,43
1658,NZ,False,True,False,Full-time,Entry level,Higher Education,Manufacturing,Engineering,1,127
1659,ZA,False,True,False,Contract,,Higher Education,Education,,0,10
1660,GB,False,True,False,Temporary,Internship,Vocational,Computer and Technology,Marketing,0,178
1661,US,False,False,False,Full-time,,,,,0,32
1662,US,False,True,True,,,,,,0,73
1663,IN,False,True,True,Full-time,Mid-Senior level,,Manufacturing,Health Care Provider,0,103
1664,US,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Sales,0,85
1665,IT,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Management,0,49
1666,US,False,True,True,,Entry level,Normal education,Telecommunication,Customer Service,0,120
1667,US,False,True,True,Full-time,Associate,Normal education,Finance and Economic,Customer Service,0,100
1668,CA,False,True,True,,,,,,0,55
1669,US,False,True,True,Full-time,Mid-Senior level,Higher Education,Finance and Economic,Customer Service,0,100
1670,GB,False,True,True,Full-time,Mid-Senior level,Higher Education,Fashion,Design,1,201
1671,US,False,True,True,Full-time,,,Fashion,Engineering,0,52
1672,US,False,True,False,,,,,Customer Service,0,184
1673,US,False,False,True,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Engineering,1,64
1674,US,False,True,False,Temporary,,,Hospitality,,0,95
1675,GB,False,True,True,,Not Applicable,Normal education,,Administrative,0,131
1676,EG,False,True,False,Full-time,Entry level,Higher Education,Computer and Technology,Quality Assurance,0,230
1677,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Engineering,0,188
1678,ZA,False,True,False,Contract,,Higher Education,Education,,0,10
1679,GB,False,True,False,,,,Food and Beverage,Sales,0,199
1680,US,False,True,True,Contract,,Higher Education,Education,,0,10
1681,US,False,True,False,Full-time,Mid-Senior level,Higher Education,Computer and Technology,Sales,0,85
1682,NZ,False,True,False,Full-time,Associate,Higher Education,Computer and Technology,Project Management,0,122
1683,GB,False,True,True,,,,Healthcare,,0,120
1684,PK,False,True,True,,,,Fashion,,0,82
1685,US,False,True,True,Full-time,Associate,Higher Education,Computer and Technology,Design,0,163
1686,US,False,True,False,Full-time,,,,,0,104
1687,US,False,False,False,Full-time,,,,,0,32
1688,US,True,True,False,Contract,Internship,,Education,Writing/Editing,0,105
1689,US,False,True,True,Part-time,Entry level,Normal education,Healthcare,Health Care Provider,0,29
1690,US,False,True,True,Contract,,Higher Education,Education,,0,10
1691,CA,False,True,False,Full-time,Entry level,Normal education,Entertainment,Customer Service,0,86
1692,US,False,True,True,Full-time,Entry level,Normal education,Transportation,Distribution,0,37
1693,US,False,True,True,,,,,,0,130
1694,GB,False,True,True,Full-time,Entry level,Higher Education,HR and Consulting,Training,0,178
1695,US,True,True,False,Full-time,Mid-Senior level,,Computer and Technology,Information Technology,0,60
1696,SG,False,True,False,Full-time,,,Education,,0,76
1697,GB,False,True,False,Full-time,Entry level,Higher Education,Advertising and marketing,Marketing,0,127
1698,US,False,True,False,Temporary,Entry level,Normal education,Advertising and marketing,Other,0,65
1699,DE,False,True,False,Full-time,,,,,0,20
1700,EE,False,True,True,,,,Finance and Economic,,0,53
1701,CA,False,True,True,Full-time,Entry level,Higher Education,Advertising and marketing,Sales,0,359
1702,GB,False,True,True,Full-time,Mid-Senior level,,Computer and Technology,Project Management,1,55
1703,US,False,True,False,Full-time,,,,,0,184
1704,US,False,False,False,Full-time,,,,,0,32
1705,US,False,True,True,Full-time,,,Non-Profit Organisation,,1,85
